"key","message","comment","context"
"Action","Action",,
"Actions","Actions",,
"Anomalies","Anomalies",,
"Api Access Key","Clé d'accès Api",,
"App Redmine","App Redmine",,
"Batch","Batch",,
"Batchs",,,
"Closed","Fermé",,
"Code","Code",,
"Company","Société",,
"Created by","Créé par",,
"Created on","Créé le",,
"Description","Description",,
"Error connecting redmine server. Please check the configuration","Erreur de connexion au serveur Redmine. S'il vous plaît vérifier la configuration",,
"Export","Exporter",,
"Export completed",,,
"High","Elevé",,
"Import","Import",,
"Import completed",,,
"In progress","En cours",,
"Information","Information",,
"Low","Faible",,
"Name",,,
"New","nouveau",,
"Normal","Normal",,
"Please check your authentication details","Veuillez vérifier vos informations d'authentification",,
"Priority","Priorité",,
"Project","Projet",,
"Projects",,,
"Redmine Batch","Redmine Batch",,
"Redmine Id","Redmine Id",,
"Redmine Title",,,
"Redmine batch","Redmine batch",,
"Redmine batches","Redmine batches",,
"Redmine configurations","Configurations Redmine",,
"Resolved","Résolu",,
"Start Date","Date de début",,
"Status","Statut",,
"Task",,,
"Tracker",,,
"Trackers",,,
"URI","URI",,
"URI and API Access Key should not be empty","L'URI et la clé d'accès à l'API ne doivent pas être vides",,
"Update already imported",,,
"Urgent","Urgent",,
